run_name,method,tier,owner,category,dataset,split,seed,config_hash,git_sha,dirty,resolution,n_train,n_validation,n_test,image_auroc,image_aupr,f1max_oracle,fpr_at_op1,recall_at_op1,pixel_auroc,aupro_005,aupro_030,segf1_3sigma,iou_3sigma,threshold_op1,threshold_3sigma,threshold_source,oracle_flag,fit_seconds,predict_seconds,latency_per_image_ms,escape_by_defect,fit_extra,notes
random-pcb1-s0,random,T0,own,pcb1,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.5054000000000001,0.496319550352999,0.6691729323308271,0.01,0.0,0.49632514667529193,0.02816562507951457,0.14885761538878017,0.0004832296751987846,0.00024167322943747493,0.996305735863467,0.7942574296945298,validation,False,10.157351000000745,5.6797263999997085,28.398631999998543,anomaly=1.000,normalizer_bounds=0.08757..0.9252;oracle_f1max_threshold=0.172902;seed=0,
random-pcb1-s1,random,T0,own,pcb1,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.4686,0.49061910428403743,0.6666666666666666,0.04,0.05,0.5011677751544379,0.041902541739766014,0.17669764936129617,0.0004949148468639131,0.0002475186737652179,0.9686157932466931,0.7943897452078462,validation,False,10.716818699999749,5.733349299999645,28.666746499998226,anomaly=0.950,normalizer_bounds=0.06664..0.9455;oracle_f1max_threshold=0.0109861;seed=1,
random-pcb1-s2,random,T0,own,pcb1,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.5279,0.5525437407852144,0.6712328767123288,0.01,0.03,0.49884082692287635,0.02516266110537855,0.15783433501648542,0.00048496761615845026,0.0002425426207375231,0.9905991351237926,0.7947284666020568,validation,False,10.817228500000056,5.748507000000245,28.742535000001226,anomaly=0.970,normalizer_bounds=0.06687..0.9325;oracle_f1max_threshold=0.0508493;seed=2,
mean_intensity-pcb1-s0,mean_intensity,T0,own,pcb1,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8008,0.8460912473375959,0.7476635514018691,0.0,0.22,0.7550320574149627,0.03797494623514219,0.2958447615131578,0.03923635038228262,0.020010749582149982,2.3731874651322697,2.5140922851931764,validation,False,10.877392800000052,5.7084193999999115,28.542096999999558,anomaly=0.780,normalizer_bounds=0.00104..2.766;oracle_f1max_threshold=0.83371;train_mean=0.2509848275852467;train_std=0.04999896345763704,
mean_intensity-pcb1-s1,mean_intensity,T0,own,pcb1,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8008,0.8460912473375959,0.7476635514018691,0.0,0.22,0.7550320574149627,0.03797494623514219,0.2958447615131578,0.03923635038228262,0.020010749582149982,2.3731874651322697,2.5140922851931764,validation,False,10.902773299999353,5.728835800000525,28.644179000002623,anomaly=0.780,normalizer_bounds=0.00104..2.766;oracle_f1max_threshold=0.83371;train_mean=0.2509848275852467;train_std=0.04999896345763704,
mean_intensity-pcb1-s2,mean_intensity,T0,own,pcb1,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8008,0.8460912473375959,0.7476635514018691,0.0,0.22,0.7550320574149627,0.03797494623514219,0.2958447615131578,0.03923635038228262,0.020010749582149982,2.3731874651322697,2.5140922851931764,validation,False,10.846697500000118,5.703799399999298,28.51899699999649,anomaly=0.780,normalizer_bounds=0.00104..2.766;oracle_f1max_threshold=0.83371;train_mean=0.2509848275852467;train_std=0.04999896345763704,
histogram-pcb1-s0,histogram,T0,own,pcb1,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8308000000000001,0.869537851807783,0.7839195979899497,0.0,0.16,0.734846623350519,0.037812236029017544,0.2812292050438596,0.028687241946588126,0.014552354429499845,0.055127696786134786,0.03732437458173417,validation,False,11.639597499999581,5.880940500000179,29.404702500000894,anomaly=0.840,bins=64;normalizer_bounds=0.0008416..0.0618;oracle_f1max_threshold=0.0103644,
histogram-pcb1-s1,histogram,T0,own,pcb1,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8308000000000001,0.869537851807783,0.7839195979899497,0.0,0.16,0.734846623350519,0.037812236029017544,0.2812292050438596,0.028687241946588126,0.014552354429499845,0.055127696786134786,0.03732437458173417,validation,False,11.64688920000026,5.906315500000346,29.53157750000173,anomaly=0.840,bins=64;normalizer_bounds=0.0008416..0.0618;oracle_f1max_threshold=0.0103644,
histogram-pcb1-s2,histogram,T0,own,pcb1,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8308000000000001,0.869537851807783,0.7839195979899497,0.0,0.16,0.734846623350519,0.037812236029017544,0.2812292050438596,0.028687241946588126,0.014552354429499845,0.055127696786134786,0.03732437458173417,validation,False,11.62556080000013,5.894564599999285,29.472822999996424,anomaly=0.840,bins=64;normalizer_bounds=0.0008416..0.0618;oracle_f1max_threshold=0.0103644,
pixel_pca-pcb1-s0,pixel_pca,T0,own,pcb1,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8134,0.7942696406757527,0.7804878048780488,0.01,0.18,0.9687305287327381,0.3645616258528052,0.7330066229288412,0.16998559632762011,0.09288757289915404,0.19138836860656738,0.48360037475181206,validation,False,11.624327900000026,5.831427899999653,29.157139499998266,anomaly=0.820,explained_variance_ratio=0.8196091055870056;n_components=16;normalizer_bounds=0.0003335..2.464;oracle_f1max_threshold=0.106853,
pixel_pca-pcb1-s1,pixel_pca,T0,own,pcb1,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8134,0.7942696406757527,0.7804878048780488,0.01,0.18,0.9687305287327381,0.3645616258528052,0.7330066229288412,0.16998559632762011,0.09288757289915404,0.19138836860656738,0.48360037475181206,validation,False,11.502472999999554,5.833238299999721,29.166191499998604,anomaly=0.820,explained_variance_ratio=0.8196091055870056;n_components=16;normalizer_bounds=0.0003335..2.464;oracle_f1max_threshold=0.106853,
pixel_pca-pcb1-s2,pixel_pca,T0,own,pcb1,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,768,136,200,0.8134,0.7942696406757527,0.7804878048780488,0.01,0.18,0.9687305287327381,0.3645616258528052,0.7330066229288412,0.16998559632762011,0.09288757289915404,0.19138836860656738,0.48360037475181206,validation,False,11.562220399999205,5.81711660000019,29.085583000000952,anomaly=0.820,explained_variance_ratio=0.8196091055870056;n_components=16;normalizer_bounds=0.0003335..2.464;oracle_f1max_threshold=0.106853,
random-macaroni2-s0,random,T0,own,macaroni2,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.4376,0.4862260759429631,0.6666666666666666,0.0,0.02,0.5069325626622501,0.02621040772596133,0.14667853771155612,0.00031451631553386833,0.00015728289178474448,0.9884592386733859,0.8088383459149276,validation,False,9.841503200000261,5.494921599999543,27.474607999997716,anomaly=0.980,normalizer_bounds=0.03201..0.9357;oracle_f1max_threshold=0.00933616;seed=0,
random-macaroni2-s1,random,T0,own,macaroni2,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.5650999999999999,0.5494441517178985,0.6688963210702341,0.0,0.0,0.5118749830795613,0.022338586878927306,0.15000098974271123,0.0002594177923545871,0.00012972572275759823,0.9951739994441912,0.8090119979443986,validation,False,9.746950799999468,5.490457400000196,27.45228700000098,anomaly=1.000,normalizer_bounds=0.06227..0.9318;oracle_f1max_threshold=0.0151805;seed=1,
random-macaroni2-s2,random,T0,own,macaroni2,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.4403,0.48068201979704517,0.6711864406779661,0.03,0.02,0.47689982899199646,0.02088028701016444,0.16108260984827122,0.00012153224110126908,6.076981329643515e-05,0.9852401516576733,0.8094715991500661,validation,False,9.756505999999717,5.482219299999997,27.411096499999985,anomaly=0.980,normalizer_bounds=0.06284..0.9308;oracle_f1max_threshold=0.0104456;seed=2,
mean_intensity-macaroni2-s0,mean_intensity,T0,own,macaroni2,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.39139999999999997,0.4192080907606783,0.6688963210702341,0.02,0.0,0.462273164140933,0.002320328677484586,0.12872442223744923,0.0,0.0,2.3340786042739015,2.502752288548125,validation,False,9.838363200000458,5.491715699999986,27.45857849999993,anomaly=1.000,normalizer_bounds=0.000943..2.797;oracle_f1max_threshold=0.00440204;train_mean=-0.46768202758302874;train_std=0.03516934565940926,
mean_intensity-macaroni2-s1,mean_intensity,T0,own,macaroni2,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.39139999999999997,0.4192080907606783,0.6688963210702341,0.02,0.0,0.462273164140933,0.002320328677484586,0.12872442223744923,0.0,0.0,2.3340786042739015,2.502752288548125,validation,False,9.820300800000041,5.475792799999908,27.37896399999954,anomaly=1.000,normalizer_bounds=0.000943..2.797;oracle_f1max_threshold=0.00440204;train_mean=-0.46768202758302874;train_std=0.03516934565940926,
mean_intensity-macaroni2-s2,mean_intensity,T0,own,macaroni2,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.39139999999999997,0.4192080907606783,0.6688963210702341,0.02,0.0,0.462273164140933,0.002320328677484586,0.12872442223744923,0.0,0.0,2.3340786042739015,2.502752288548125,validation,False,9.793479500000103,5.48464630000035,27.423231500001748,anomaly=1.000,normalizer_bounds=0.000943..2.797;oracle_f1max_threshold=0.00440204;train_mean=-0.46768202758302874;train_std=0.03516934565940926,
histogram-macaroni2-s0,histogram,T0,own,macaroni2,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.4514,0.45101182204327395,0.6666666666666666,0.03,0.0,0.5110777859551664,0.0134219708994709,0.10320059523809524,0.0,0.0,0.046623971886673776,0.046526576379598866,validation,False,10.51231000000007,5.655237200000556,28.27618600000278,anomaly=1.000,bins=64;normalizer_bounds=0.002758..0.06056;oracle_f1max_threshold=0.00313429,
histogram-macaroni2-s1,histogram,T0,own,macaroni2,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.4514,0.45101182204327395,0.6666666666666666,0.03,0.0,0.5110777859551664,0.0134219708994709,0.10320059523809524,0.0,0.0,0.046623971886673776,0.046526576379598866,validation,False,10.530882699999893,5.688901200000146,28.44450600000073,anomaly=1.000,bins=64;normalizer_bounds=0.002758..0.06056;oracle_f1max_threshold=0.00313429,
histogram-macaroni2-s2,histogram,T0,own,macaroni2,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.4514,0.45101182204327395,0.6666666666666666,0.03,0.0,0.5110777859551664,0.0134219708994709,0.10320059523809524,0.0,0.0,0.046623971886673776,0.046526576379598866,validation,False,10.531567699999869,5.659462099999473,28.297310499997366,anomaly=1.000,bins=64;normalizer_bounds=0.002758..0.06056;oracle_f1max_threshold=0.00313429,
